tensor,owen,stream,stoc_len,ref_rms,mse,rmse,max_abs,rel_fro,cos
L0.k_proj,random,halve,128,1.44193696975708,0.00038269616197794676,0.01956262155177436,0.19330406188964844,0.01356690376996994,0.9999098777770996
L0.o_proj,off,full,256,0.00834187213331461,3.818393068399928e-08,0.00019540708964620315,0.005959212779998779,0.023424847051501274,0.9997535943984985
L0.o_proj,off,full,128,0.00834187213331461,1.6397723356931238e-07,0.0004049410248039983,0.009830251336097717,0.04854318127036095,0.9990370273590088
L0.o_proj,off,full,64,0.00834187213331461,8.15964824596449e-07,0.0009033077131279512,0.022887155413627625,0.10828596353530884,0.9957969784736633
L0.o_proj,off,full,32,0.00834187213331461,3.88316584576387e-06,0.0019705750038412316,0.05500610172748566,0.23622694611549377,0.9830427169799805
L0.o_proj,off,full,16,0.00834187213331461,1.7545238733873703e-05,0.004188703705667626,0.09770141541957855,0.5021299123764038,0.9432443380355835
L0.o_proj,off,halve,128,0.00834187213331461,1.4367715550633875e-07,0.00037904769555603256,0.008899882435798645,0.045439161360263824,0.9990530014038086
L0.o_proj,counter,full,256,0.00834187213331461,3.818393068399928e-08,0.00019540708964620315,0.005959212779998779,0.023424847051501274,0.9997535943984985
L0.o_proj,counter,full,128,0.00834187213331461,9.558761604466781e-08,0.00030917246973925056,0.003009513020515442,0.03706271946430206,0.9993128776550293
L0.o_proj,counter,full,64,0.00834187213331461,3.3429773793614004e-07,0.0005781848648452674,0.008512735366821289,0.06931116431951523,0.9976418614387512
L0.o_proj,counter,full,32,0.00834187213331461,1.1402235031710006e-06,0.001067812485023003,0.01618748903274536,0.12800633907318115,0.9921020865440369
L0.o_proj,counter,full,16,0.00834187213331461,3.7306353988242336e-06,0.0019314852830980187,0.028412658721208572,0.2315409928560257,0.9749140739440918
L0.o_proj,counter,halve,128,0.00834187213331461,9.321518490423841e-08,0.00030531161934036903,0.002810366451740265,0.036599889397621155,0.9993299245834351
L0.o_proj,bitrev,full,256,0.00834187213331461,3.818393068399928e-08,0.00019540708964620315,0.005959212779998779,0.023424847051501274,0.9997535943984985
L0.o_proj,bitrev,full,128,0.00834187213331461,9.537885148347414e-08,0.0003088346669068648,0.0047520846128463745,0.03702222555875778,0.999345064163208
L0.o_proj,bitrev,full,64,0.00834187213331461,3.168315174661984e-07,0.0005628778885923647,0.009773671627044678,0.06747620552778244,0.9978331327438354
L0.o_proj,bitrev,full,32,0.00834187213331461,1.0581851483948412e-06,0.001028681266668564,0.02019364759325981,0.12331538647413254,0.9931234121322632
L0.o_proj,bitrev,full,16,0.00834187213331461,3.160168489557691e-06,0.001777686274222111,0.03358219563961029,0.2131039798259735,0.9795932173728943
L0.o_proj,bitrev,halve,128,0.00834187213331461,9.049737315081074e-08,0.00030082781312706236,0.003746934235095978,0.03606238588690758,0.9993494749069214
L0.o_proj,random,full,256,0.00834187213331461,3.818393068399928e-08,0.00019540708964620315,0.005959212779998779,0.023424847051501274,0.9997535943984985
L0.o_proj,random,full,128,0.00834187213331461,8.987865385279292e-08,0.00029979768820455056,0.005377337336540222,0.035938896238803864,0.999356746673584
L0.o_proj,random,full,64,0.00834187213331461,2.917500125931838e-07,0.0005401388826896133,0.006787315011024475,0.0647503212094307,0.9979588985443115
L0.o_proj,random,full,32,0.00834187213331461,9.160180525213946e-07,0.0009570883201258882,0.015099853277206421,0.11473303288221359,0.9935086965560913
L0.o_proj,random,full,16,0.00834187213331461,2.8620152079383843e-06,0.0016917491563285569,0.03303276002407074,0.20280207693576813,0.9803626537322998
L0.o_proj,random,halve,128,0.00834187213331461,8.61972395682642e-08,0.0002935936640465257,0.006193697452545166,0.03519517555832863,0.999383270740509
L0.q_proj,off,full,256,1.2456599473953247,0.0005316467140801251,0.023057465473900748,0.3801918029785156,0.0185102391988039,0.9999027252197266
L0.q_proj,off,full,128,1.2456599473953247,0.0030351632740348577,0.05509231592549779,0.8345270156860352,0.04422740638256073,0.99953293800354
L0.q_proj,off,full,64,1.2456599473953247,0.016641302034258842,0.12900117067010997,2.087057113647461,0.10356049239635468,0.9978427886962891
L0.q_proj,off,full,32,1.2456599473953247,0.0809280276298523,0.2844785187493992,4.264922142028809,0.22837573289871216,0.9915894269943237
L0.q_proj,off,full,16,1.2456599473953247,0.3700319528579712,0.6083025175502491,9.565285682678223,0.48833751678466797,0.9731767177581787
L0.q_proj,off,halve,128,1.2456599473953247,0.0024867248721420765,0.04986707202294994,0.7605295181274414,0.04003264755010605,0.9995378255844116
L0.q_proj,counter,full,256,1.2456599473953247,0.0005316467140801251,0.023057465473900748,0.3801918029785156,0.0185102391988039,0.9999027252197266
L0.q_proj,counter,full,128,1.2456599473953247,0.00019622397667262703,0.014007996882946077,0.1547069549560547,0.011245441623032093,0.9999381899833679
L0.q_proj,counter,full,64,1.2456599473953247,0.000733138294890523,0.027076526640071895,0.41411590576171875,0.021736690774559975,0.9997747540473938
L0.q_proj,counter,full,32,1.2456599473953247,0.0023991819471120834,0.048981444926748365,0.5304775238037109,0.03932167962193489,0.9993011355400085
L0.q_proj,counter,full,16,1.2456599473953247,0.009245452471077442,0.09615327592483494,0.9655218124389648,0.07719062268733978,0.9979236721992493
L0.q_proj,counter,halve,128,1.2456599473953247,0.00019237847300246358,0.013870056705091857,0.15804100036621094,0.011134704574942589,0.9999383091926575
