tensor,proj,stoc_len,halve,scramble,mse,rel_fro
L0.k_proj,k_proj,256,halve,bitrev,0.00014656793791800737,0.00839601457118988
L0.k_proj,k_proj,192,full,off,0.0015353824710473418,0.02717452496290207
L0.k_proj,k_proj,192,full,counter,0.0002308492112206295,0.010537021793425083
L0.k_proj,k_proj,192,full,bitrev,0.0002299328480148688,0.010516087524592876
L0.k_proj,k_proj,192,halve,off,0.0012712631141766906,0.024726998060941696
L0.k_proj,k_proj,192,halve,counter,0.00023863812384661287,0.010713308118283749
L0.k_proj,k_proj,192,halve,bitrev,0.00022923399228602648,0.01050009485334158
L0.k_proj,k_proj,128,full,off,0.004985070787370205,0.04896540567278862
L0.k_proj,k_proj,128,full,counter,0.00043318193638697267,0.014434071257710457
L0.k_proj,k_proj,128,full,bitrev,0.00046404506429098547,0.01493942178785801
L0.k_proj,k_proj,128,halve,off,0.0040959445759654045,0.044384438544511795
L0.k_proj,k_proj,128,halve,counter,0.0004327154310885817,0.014426298439502716
L0.k_proj,k_proj,128,halve,bitrev,0.0003912117099389434,0.013717014342546463
L0.k_proj,k_proj,96,full,off,0.008925109170377254,0.06551797688007355
L0.k_proj,k_proj,96,full,counter,0.0007379748858511448,0.018839722499251366
L0.k_proj,k_proj,96,full,bitrev,0.0007252360810525715,0.018676411360502243
L0.k_proj,k_proj,96,halve,off,0.007781446445733309,0.06117638945579529
L0.k_proj,k_proj,96,halve,counter,0.000730286817997694,0.01874133013188839
L0.k_proj,k_proj,96,halve,bitrev,0.0006198075134307146,0.017265617847442627
L0.k_proj,k_proj,64,full,off,0.027869023382663727,0.11577492952346802
L0.k_proj,k_proj,64,full,counter,0.0015591076808050275,0.027383675798773766
L0.k_proj,k_proj,64,full,bitrev,0.0014633149839937687,0.026529107242822647
L0.k_proj,k_proj,64,halve,off,0.025576818734407425,0.11091158539056778
L0.k_proj,k_proj,64,halve,counter,0.0015223589725792408,0.027059029787778854
L0.k_proj,k_proj,64,halve,bitrev,0.0012332428013905883,0.02435442991554737
L0.k_proj,k_proj,48,full,off,0.04855737090110779,0.1528203785419464
L0.k_proj,k_proj,48,full,counter,0.0025363177992403507,0.03492653742432594
L0.k_proj,k_proj,48,full,bitrev,0.002410630229860544,0.034050147980451584
L0.k_proj,k_proj,48,halve,off,0.045820534229278564,0.14845122396945953
L0.k_proj,k_proj,48,halve,counter,0.002493704902008176,0.034631893038749695
L0.k_proj,k_proj,48,halve,bitrev,0.002049966249614954,0.031399812549352646
L0.k_proj,k_proj,32,full,off,0.1368725597858429,0.25657355785369873
L0.k_proj,k_proj,32,full,counter,0.004884055815637112,0.0484667606651783
L0.k_proj,k_proj,32,full,bitrev,0.0040865568444132805,0.04433354362845421
L0.k_proj,k_proj,32,halve,off,0.13146212697029114,0.25145137310028076
L0.k_proj,k_proj,32,halve,counter,0.00476160179823637,0.04785531759262085
L0.k_proj,k_proj,32,halve,bitrev,0.003749456023797393,0.04246565327048302
L0.k_proj,k_proj,16,full,off,0.6286499500274658,0.5498676300048828
L0.k_proj,k_proj,16,full,counter,0.018833525478839874,0.09517426043748856
L0.k_proj,k_proj,16,full,bitrev,0.011857520788908005,0.07551802694797516
L0.k_proj,k_proj,16,halve,off,0.616685152053833,0.544609785079956
L0.k_proj,k_proj,16,halve,counter,0.01808614656329155,0.09326671808958054
L0.k_proj,k_proj,16,halve,bitrev,0.011380625888705254,0.0739838257431984
L0.o_proj,o_proj,256,full,off,3.818393068399928e-08,0.023424847051501274
L0.o_proj,o_proj,256,full,counter,3.818393068399928e-08,0.023424847051501274
L0.o_proj,o_proj,256,full,bitrev,3.818393068399928e-08,0.023424847051501274
L0.o_proj,o_proj,256,halve,off,3.4585639241413446e-08,0.0222938135266304
L0.o_proj,o_proj,256,halve,counter,2.704838841793844e-08,0.01971547119319439
L0.o_proj,o_proj,256,halve,bitrev,2.7502123245426446e-08,0.01988014578819275
L0.o_proj,o_proj,192,full,off,6.261642226945696e-08,0.029997190460562706
L0.o_proj,o_proj,192,full,counter,4.941225384413883e-08,0.026647336781024933
L0.o_proj,o_proj,192,full,bitrev,4.83010715868204e-08,0.026346011087298393
L0.o_proj,o_proj,192,halve,off,5.958306559250559e-08,0.02926158532500267
L0.o_proj,o_proj,192,halve,counter,4.9691337267177005e-08,0.026722483336925507
L0.o_proj,o_proj,192,halve,bitrev,4.770041783785928e-08,0.02618168480694294
L0.o_proj,o_proj,128,full,off,1.6397723356931238e-07,0.04854318127036095
L0.o_proj,o_proj,128,full,counter,9.558761604466781e-08,0.03706271946430206
L0.o_proj,o_proj,128,full,bitrev,9.537885148347414e-08,0.03702222555875778
L0.o_proj,o_proj,128,halve,off,1.4367715550633875e-07,0.045439161360263824
L0.o_proj,o_proj,128,halve,counter,9.321518490423841e-08,0.036599889397621155
L0.o_proj,o_proj,128,halve,bitrev,9.049737315081074e-08,0.03606238588690758
L0.o_proj,o_proj,96,full,off,2.7564260562940035e-07,0.06293752044439316
L0.o_proj,o_proj,96,full,counter,1.6150352166732773e-07,0.048175640404224396
L0.o_proj,o_proj,96,full,bitrev,1.565506266842931e-07,0.04743117466568947
L0.o_proj,o_proj,96,halve,off,2.568246202372393e-07,0.060751188546419144
L0.o_proj,o_proj,96,halve,counter,1.6031590632792359e-07,0.047998182475566864
L0.o_proj,o_proj,96,halve,bitrev,1.526712907207184e-07,0.04683981090784073
L0.o_proj,o_proj,64,full,off,8.15964824596449e-07,0.10828596353530884
L0.o_proj,o_proj,64,full,counter,3.3429773793614004e-07,0.06931116431951523
L0.o_proj,o_proj,64,full,bitrev,3.168315174661984e-07,0.06747620552778244
L0.o_proj,o_proj,64,halve,off,7.63289335736772e-07,0.10473240166902542
L0.o_proj,o_proj,64,halve,counter,3.327737658764818e-07,0.06915299594402313
L0.o_proj,o_proj,64,halve,bitrev,3.0989738775133446e-07,0.06673373281955719
L0.o_proj,o_proj,48,full,off,1.4062587752050604e-06,0.14215727150440216
L0.o_proj,o_proj,48,full,counter,5.656758617078594e-07,0.09016132354736328
L0.o_proj,o_proj,48,full,bitrev,5.055111387264333e-07,0.08523182570934296
L0.o_proj,o_proj,48,halve,off,1.3418574553725193e-06,0.13886399567127228
L0.o_proj,o_proj,48,halve,counter,5.61415788524755e-07,0.08982118219137192
L0.o_proj,o_proj,48,halve,bitrev,4.977028993380372e-07,0.08457101136445999
L0.o_proj,o_proj,32,full,off,3.88316584576387e-06,0.23622694611549377
L0.o_proj,o_proj,32,full,counter,1.1402235031710006e-06,0.12800633907318115
L0.o_proj,o_proj,32,full,bitrev,1.0581851483948412e-06,0.12331538647413254
L0.o_proj,o_proj,32,halve,off,3.76869479623565e-06,0.2327190637588501
L0.o_proj,o_proj,32,halve,counter,1.139548317041772e-06,0.127968430519104
L0.o_proj,o_proj,32,halve,bitrev,1.0335664910599007e-06,0.12187248468399048
L0.o_proj,o_proj,16,full,off,1.7545238733873703e-05,0.5021299123764038
